Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,DayOfYear,Year
1168,3,14.082481934029051,59,2.9994595070209744,462,5.745541462134542,0.020607459913644433,0.020385822979703733,0.0007387352428823574,1,0,1,34,2018
1174,10,20.48912174860409,81,0.4025023886014998,357,16.169232138814976,0.05163931818251244,0.03180215989869882,0.004513586770443612,3,0,1,235,2017
280,6,-6.125147988751349,37,1.899948119284882,1628,-20.55674109052894,0.0006772268066081999,0.01164656893140717,0.007817072169988754,3,0,1,338,2018
1094,21,23.591530055922377,90,0.6055208824656719,1434,20.12366688593715,0.002879365798653555,0.024302011456949255,0.0036075365439516005,0,0,1,170,2018
205,4,7.1201938301036725,35,2.6939786729376243,1999,-5.090773108768744,0.002361272562864447,0.02430834184813456,0.0016302779949404905,1,0,1,115,2018
428,22,25.990462281560372,62,0.9011287393364447,865,18.005469466405323,1.921746142583521,0.006205565622586756,0.007893463673007459,1,0,1,194,2018
99,14,18.219348441913446,80,1.2956246559221247,1860,13.583123950557441,0.0027314286729431814,0.028936101331026434,0.008684325339877744,2,1,1,298,2018
934,22,13.966559586946254,60,2.0966300675968723,1347,7.394336397786205,0.13993551637062318,0.004339810058084814,0.005425716491209459,2,0,1,95,2017
230,17,29.683428714311333,85,0.4974147240437763,267,22.73877938796211,2.431450780581254,0.006600692619304155,0.0011036982047870347,1,0,1,9,2018
2433,16,10.40195059267057,17,0.6005575648775145,1999,-13.567007775661953,0.0015642040531417267,0.0016023229192680122,0.0066452459934165375,2,0,1,282,2018
757,16,22.113998494330033,22,4.304823476235666,1998,1.1282047859515814,1.7608942790275453,0.016050459208887424,0.0013329892789927106,3,0,1,159,2017
717,22,19.553699085332475,57,0.500218843999912,349,8.783493698254576,0.003283634172549288,0.014793765549379029,0.002858200397621413,1,0,1,354,2018
1064,6,25.806644424585173,90,0.8003395438823667,185,21.287808488658314,1.7288868225102547,0.02212214955192074,0.003175140432771159,2,0,1,299,2018
1396,12,21.8164184956741,26,1.600925579823043,1999,2.7606566459914785,0.7093212200604265,0.0024420812349928156,0.0014293286891681328,0,0,1,238,2017
0,6,-13.168849603576758,65,1.3002587895182747,261,-20.395161146846547,0.0008112487950294733,0.0311310635841356,0.007181156492295296,1,0,1,103,2018
3,12,-4.281514484781644,18,2.500609684099893,1999,-23.27171434224962,1.230002426706069,0.03462993627194472,0.0029863766028976335,1,0,1,287,2018
1072,16,29.209114202983685,55,1.0038307865013265,1999,20.788719092429233,0.8976714768450581,0.022251487492615574,0.0023736285837600984,1,0,1,230,2018
16,2,13.930100044597978,84,1.2971305822439785,502,12.907845305693076,0.0009502660405045216,0.034389057562218925,0.003366899190996961,0,0,1,52,2017
248,9,22.720586662540633,59,1.100206324717289,1837,15.351747045793694,1.3111754842010077,0.0036275011471413876,0.0038472626229908574,2,0,1,291,2018
48,16,2.970756868675803,27,1.6050509479525825,1921,-13.196730658849336,0.4922900707077791,0.005208574046072917,0.004004614824340322,3,0,1,129,2018
179,3,3.6144839249815917,37,2.80329602668966,1744,-9.831990972561332,0.7189612186189163,1.9979631912665008,0.007873333957217704,3,0,1,207,2018
580,1,8.315850416749132,54,3.203236627364503,1999,-1.378283384428956,0.06850723522678426,0.02452412077665274,0.007404921233181816,3,0,1,7,2018
1283,8,17.030093843543607,95,0.500070056511368,1742,19.296342787273048,0.0010686970660747086,0.014040208339384685,0.004435028004993499,0,0,1,74,2018
102,21,30.001480244937817,81,1.6983374710287074,1596,22.221608956879532,0.12256333042863293,0.026231926990165536,0.0034044868001491813,1,0,1,60,2018
164,2,-2.2058811487916117,94,3.0950867202822376,847,0.8130785952962238,0.12035274460250966,0.0028304569953173653,0.006915328007571414,1,0,1,11,2018
151,12,6.335847447847573,28,2.3008870512520057,1999,-9.006391466377298,0.009735606072945213,0.0024606173044965374,0.0038617031910565675,3,0,1,23,2018
442,21,20.86981896728982,52,1.600913935515591,764,9.88828885311209,1.7910940384570218,0.009214251937694096,0.003389825172169819,0,0,1,309,2018
819,8,26.206912549534078,67,3.099516091203227,1805,18.70232119801667,1.330193581612867,0.00206003454172482,0.008588289793621376,3,0,1,308,2018
1996,12,26.219096491749596,22,3.7033529403488457,1341,5.771151934441279,1.7093701337367764,0.02521119468581301,0.005226618292042989,3,0,1,102,2018
2355,8,22.310577555903606,13,5.001714750989264,1999,-2.7344782342566365,3.3306605195390464,0.019821144473833874,0.0007681054701135365,0,0,1,119,2018
2601,15,26.69347777193676,27,3.9014462345789127,1999,9.289178778872756,2.8812656536152508,0.014906999550147043,0.0013962420682690768,3,0,1,182,2018
1502,8,20.913706468182905,70,3.7971911246873393,1998,15.472153248112608,0.0034739321466851214,0.01527418937369826,0.006044523330536941,1,0,1,195,2018
244,16,21.29312168925658,77,1.2988146493124435,1841,16.89764723903081,0.00278291387820373,0.0190752350259695,0.00835125916600507,3,0,1,243,2018
1995,5,34.78911345311498,70,1.0967241900744216,1617,24.282378094818508,1.7898907450329098,0.02404400314420589,0.0037996090953144046,3,0,1,296,2018
1633,2,26.804727692911687,62,3.2939052593331866,1906,17.784542258958993,2.5726180964475693,0.021803375979578127,0.007872139385240479,0,0,1,96,2018
543,16,21.80936225466384,56,1.4959017567100727,1999,14.210050594972063,1.231315900275031,0.01021690455259816,0.0006765502814454899,3,0,1,217,2018
39,18,3.933441211885704,30,1.0024331932899666,1988,-13.816085740608745,2.0716690271163047,0.013974439728672433,0.007064289729714415,3,0,1,252,2018
3174,17,31.071266646818145,82,1.2967848652746663,1998,23.167436936276378,0.0014565043774025233,0.03225396616539697,0.0007156632995068274,1,0,1,327,2018
