player_height,player_weight,reb,ast,draft_round,draft_number,DR&DN
208.8491221,120.2385013,8.116999663,0.81419698,1,1,1
205.7945567,101.6817105,1.338343979,0.490996952,2,55,85
203.0216622,105.3312865,4.946713356,1.554393727,1,14,14
210.576764,126.5375385,7.763265391,1.496680148,1,27,27
200.6983726,95.50631598,7.397033752,5.150594291,1,9,9
197.7523169,102.282251,2.127311909,2.510636814,2,30,60
199.4712712,89.69465094,2.699075042,1.988791144,1,22,22
190.2978565,84.4118768,3.748047875,6.32038676,2,33,63
202.1352245,101.0030305,1.672687569,0.176574172,2,49,79
200.3329801,91.50357303,0.674827371,0.357821437,Undrafted,Undrafted,Undrafted
210.8643951,105.4671034,5.338241963,2.133318736,1,6,6
208.6693337,106.7597386,2.907488626,0.605326401,2,50,80
197.1547014,95.08783661,2.328709966,0.92346528,2,44,74
211.4673416,116.8452793,1.245827904,0.14671843,Undrafted,Undrafted,Undrafted
198.9197767,96.74246204,2.422762529,2.751518993,1,21,21
204.975345,101.8859784,2.621899626,0.198241634,Undrafted,Undrafted,Undrafted
204.7905257,110.5250124,3.05591992,1.070751357,1,12,12
185.9356315,79.56236392,0.237052214,2.584493496,1,23,23
211.1188642,109.3039086,12.82852638,5.743390649,1,15,15
200.2271447,100.3683723,2.74388097,2.008645602,1,18,18
229.0563962,123.6500142,2.475209057,-0.254251174,1,2,2
202.7048335,90.71062985,3.925658569,0.777481634,1,18,18
213.574075,109.0288002,9.256761196,1.913944286,1,22,22
192.6966478,94.88214559,0.439702649,0.351859757,Undrafted,Undrafted,Undrafted
213.6621965,126.7122691,1.954698343,-0.158721141,1,8,8
200.908776,96.47117319,1.018516544,-0.114843623,Undrafted,Undrafted,Undrafted
180.8505276,77.67507668,1.138710689,1.795272633,2,51,81
189.1272142,79.66907949,2.113032969,2.837570279,2,45,75
200.2644393,98.5347232,4.623054046,1.073908783,1,18,18
192.8156853,93.53011472,1.324158586,0.683131961,Undrafted,Undrafted,Undrafted
206.7845994,113.0637776,5.288076112,2.354883123,Undrafted,Undrafted,Undrafted
197.7666151,101.511733,2.999209515,3.854196316,2,30,60
200.3068213,92.05903947,3.184547797,1.82232732,1,3,3
210.8308414,113.6931944,12.95345677,4.130685516,1,5,5
191.2852152,78.31567477,0.308844876,2.12163597,2,39,69
193.8565646,94.78870191,2.493546942,1.69242437,2,40,70
196.5480547,94.84016147,2.774096857,1.863715087,2,46,76
202.0397887,98.28533658,5.156293517,2.832581328,1,5,5
205.4488007,105.154081,6.162884468,1.177882144,Undrafted,Undrafted,Undrafted
188.1326635,90.58987749,3.070712598,3.193546405,1,3,3
211.7107635,118.5406924,9.717340405,1.512775329,1,2,2
204.6846191,112.9296858,2.950887971,-0.19252043,Undrafted,Undrafted,Undrafted
199.4289248,106.9493435,4.11774774,0.525037444,Undrafted,Undrafted,Undrafted
189.010045,97.15765822,1.633747196,1.190942921,1,27,27
209.5002584,109.810778,4.710601053,0.403190002,Undrafted,Undrafted,Undrafted
211.257102,120.9008845,7.972488005,1.646373482,1,6,6
196.1670754,105.0115892,2.171226762,1.119014942,2,38,68
204.9495887,106.0489987,3.936793684,0.723308063,1,11,11
212.3756548,117.316574,7.58925657,0.954998737,1,23,23
214.2817924,102.0596384,3.990502851,1.803898385,1,4,4
208.695217,112.4286794,2.376486,0.924100311,1,3,3
214.4253013,145.4674404,9.337714295,1.455116403,1,1,1
209.0123921,111.6261178,3.124872926,0.859991479,1,16,16
199.5910126,102.2675266,6.88779636,4.785654033,1,4,4
206.1892172,117.5124077,8.852090983,1.009950539,2,48,78
206.8340952,97.99627776,6.700994114,1.330966699,2,32,62
180.3854831,71.13804385,1.825703633,2.755624484,1,26,26
205.0331972,114.9302292,3.516537266,1.67052646,1,12,12
203.5012293,101.5498775,3.057045961,1.005138554,1,9,9
190.3072742,81.5851796,2.619069937,3.331680388,1,26,26
196.2137993,91.19572622,2.244641608,2.538735507,1,29,29
213.442786,107.7530573,2.698180161,-0.274512051,1,18,18
