mpg,cylinders,displacement,horsepower,weight,acceleration
30.47713936415661,4,28.9,30.0,760.4,14.89369305761635
30.49398129547099,8,38.7,44.1,454.6,11.505118467792716
18.986669881762268,4,37.1,30.1,820.0,16.38941542707614
29.79385093008913,4,52.9,59.0,663.1,14.213423006357973
17.53039149314424,4,164.0,44.1,1995.1,21.908195828397808
21.607088520395926,8,236.9,67.0,1721.4,12.58763041756687
14.980505244778522,8,292.0,129.0,2749.1,14.487247060960907
27.233963991838838,4,39.0,38.9,821.6,15.708177599257207
18.00722158811318,4,331.8,134.0,2471.8,8.502332265770614
43.076974602457426,4,2.0,0.0,0.5,19.001468385405275
26.000717816176522,4,88.1,24.0,1686.6,18.998274731968245
25.401312632027366,6,75.9,44.1,652.2,11.39410827035655
28.990440055411625,4,72.3,63.9,892.7,10.01131417297399
32.12381567150288,4,29.9,19.0,458.7,20.11050273398798
9.021728060418818,4,331.9,153.9,3124.6,10.992082730364295
12.007582051368354,6,282.0,49.1,2701.6,19.003726312837212
28.997202029334403,8,132.0,44.1,981.3,17.501753871114992
12.993538926635525,6,360.8,164.1,3118.8,11.394986513513771
18.102613135743056,6,250.0,84.0,2111.5,14.490035434370723
13.02082502766361,6,281.9,54.0,2443.9,15.204452040949059
16.900922757281496,4,163.7,46.1,2034.6,16.011905273841084
23.91802994436168,6,52.2,42.0,1353.9,19.502586221976294
31.618031845856454,4,28.8,49.1,412.3,15.002828098029758
14.984738502312709,6,386.0,164.0,3336.5,13.400956615349177
16.01952018745579,8,103.3,104.0,2351.7,15.002831068962717
16.0027179300025,6,199.3,44.0,2057.5,18.69439212159203
21.981102970009083,4,164.0,51.1,1606.1,13.50058299864365
26.031088478342937,4,156.9,54.0,1918.0,16.394277630488723
36.40982768650813,4,23.1,6.1,512.6,16.996423418823312
40.7789727490669,4,10.9,0.1,352.1,23.69667405196642
43.988250675005744,8,9.8,1.9,262.4,24.786366323720216
33.01019411727176,4,28.8,33.9,898.6,19.499087060935416
18.020874482555506,4,249.8,104.0,2267.3,14.692474841690608
36.40665986158632,4,52.9,41.0,605.4,14.799757892435702
34.08805313596133,6,36.2,32.0,911.6,17.709978168020793
23.017303955213823,8,163.2,51.9,1473.6,18.588632980475495
13.012648590947242,6,282.1,63.9,2288.0,14.990911202852127
46.57096888969737,4,2.9,19.0,159.4,19.401124748458404
20.014386829682124,4,41.8,33.9,532.2,15.708222328351347
13.976590702137313,4,282.0,107.0,2826.6,12.487123675929688
13.971856146030502,6,249.7,74.0,2264.6,14.488731506430437
36.99915697978949,8,23.1,26.0,231.9,14.489254053211095
23.018408834875604,5,72.1,58.9,1082.2,13.003036013100347
13.96908927548355,8,332.0,104.1,2845.2,14.892531910607907
18.189861565064962,4,132.0,33.9,1107.2,18.585472110717326
23.992427254306058,6,235.7,69.0,1099.4,14.38722787809278
21.00306888584691,8,52.2,59.0,676.5,10.993423874510645
13.972348860486294,6,163.9,53.9,1547.3,13.195690608748851
11.97501890931098,4,250.0,74.1,2515.1,14.006810179282656
33.486711791721326,4,72.3,53.9,650.3,12.009903732717325
