age,workclass,fnlwgt,educ,educ-num,mar-stat,occup,relat,race,sex,cap-gain,cap-loss,hrs-wk,nat-count,Income
50.018273692152334,5,115988.0,9,10,0,8.996379317678084,0,4,1,97.5,0.4,39.0,0,0
50.027319931001045,4,165448.3,11,10,5,12.007744521695738,0,4,0,9.6,0.6,38.9,39,0
31.01337480117666,4,33271.2,9,9,0,3.990456499846419,2,4,1,54.6,1.4,24.0,39,0
48.011449279448584,4,197650.7,9,8,2,13.002403259981312,0,4,1,27.9,3.4,19.0,26,0
27.99851618378122,4,163670.0,11,4,2,1.001367705099688,1,4,0,78.0,2051.3,39.0,39,0
35.993989498223385,4,319129.3,9,9,4,4.002593564580335,1,4,1,28.6,0.9,38.9,39,0
23.035369013159237,7,289754.0,15,10,2,9.996525571802545,0,4,1,56.8,3.6,38.9,39,1
45.00255207733286,4,136907.6,11,13,2,8.005190733551581,3,4,1,77.9,1.8,49.0,39,0
29.039352760733323,4,462268.9,15,10,2,9.998775709370122,3,4,1,15.0,0.3,38.9,39,0
71.01346008398279,6,22435.1,4,9,5,0.9945546098747906,1,0,1,1.5,2.1,34.0,39,1
41.99548429167932,4,209049.2,11,7,2,0.002831503935326829,0,4,0,2918.0,1.5,39.0,6,0
40.99547456200854,4,186204.3,11,9,2,6.003541163597019,1,4,1,7.8,0.2,28.9,39,0
47.958039562731884,4,231821.7,11,9,0,12.99665341880111,0,4,1,36.8,0.2,33.9,39,0
53.93966158255733,4,164939.6,9,13,2,0.012143908994525887,3,4,0,32.2,3.9,39.0,39,0
17.00889337322594,6,105460.6,9,12,2,7.011030006919928,0,4,0,47.2,0.2,49.1,39,1
18.984534086935973,0,144960.4,9,14,0,0.00099980629830565,0,2,1,54.1,3.6,22.9,39,0
47.974146252842026,4,308783.3,11,9,4,3.995524876486744,3,4,1,29.9,4.3,39.0,6,0
19.02115759452125,4,308505.1,9,9,4,9.999491102217512,1,4,0,60.4,1.1,44.0,39,0
30.040358659340967,1,298221.7,15,11,4,3.994488697940104,0,4,1,36.2,2.5,49.0,39,0
20.965606626627725,4,177473.2,11,10,2,0.0057383965396331504,0,4,0,33.9,1.2,47.0,39,0
26.962341067975107,4,145174.4,11,9,2,1.006121716310922,1,4,1,83.9,1.4,39.0,39,0
38.01860221308561,0,125929.4,15,13,4,7.003002690416274,1,4,1,99.3,4.2,28.9,39,0
51.992102312289134,4,129155.8,11,10,2,13.996394987810787,0,4,1,22.6,4.1,51.0,39,0
23.047855427244784,4,586227.5,11,16,6,7.004885276245014,0,4,0,78.5,2.9,18.9,39,1
26.02526709760426,4,97948.3,11,9,4,13.991939032117548,0,4,1,7627.1,2.9,43.9,39,0
25.980280413366028,5,170579.6,15,10,2,0.008677456491247959,5,4,1,60.5,3.6,49.0,39,0
36.015151481289,4,224175.5,8,9,4,3.993802109269836,0,4,1,54.8,0.5,38.9,39,0
43.0331950502121,7,268886.0,15,9,4,7.995081871729608,3,4,0,3133.4,2.8,38.9,39,0
62.0242247195969,4,175409.6,10,10,2,0.006238088155806842,4,0,1,92.6,0.1,38.9,39,1
69.03430095174964,4,104754.0,11,10,2,0.0026227694137368474,4,4,1,7635.4,1.7,39.0,39,1
74.00978663387806,4,134431.3,11,8,4,1.0016853649761615,1,2,1,99.3,4.3,38.9,39,0
55.01573716827969,7,152291.5,11,3,2,10.996905884054595,1,4,1,10678.4,4.1,49.0,6,0
30.0296865090434,4,274195.9,10,13,0,9.996813348099675,0,4,1,57.5,3.4,43.0,39,1
62.022239611690026,4,353602.8,7,14,2,8.00345984903096,0,2,1,43.0,2.3,39.0,0,0
56.98497940459176,4,199110.7,8,13,2,8.001844149802878,0,4,1,3443.8,2.9,29.0,39,1
37.96489480338029,5,226645.3,9,10,2,4.0018939087422405,1,2,1,52.3,1887.5,49.0,39,1
20.053461190139373,4,187501.3,8,10,6,0.008505680837389562,0,1,1,13.2,1.9,23.9,39,0
83.02489959532704,4,162275.7,15,10,2,13.004971051986168,1,0,0,62.6,1874.3,39.0,39,0
33.93842324841577,4,59241.2,11,9,2,3.9957926283379623,0,4,0,6.9,2.6,49.1,39,0
21.981320409910175,5,203451.2,9,4,0,7.994494378284924,1,4,1,87.8,0.4,39.0,39,0
21.013203323595413,6,159249.5,11,9,0,3.0045303955963694,1,4,1,37.4,1.6,59.0,39,0
63.0237924111088,4,181279.5,14,9,4,10.001564985074955,0,4,0,5.6,2.2,39.0,39,1
37.96683879609581,4,157878.4,11,10,4,12.001877534449346,0,4,0,49.8,1.0,54.0,39,0
21.001398687625397,4,340372.0,9,11,2,1.0006065732119955,4,4,0,39.4,2.9,24.0,39,0
30.056100894370534,4,147844.6,12,10,2,0.008566033650940774,1,4,0,20.3,3.7,39.0,39,0
39.03144679949404,4,344893.0,7,9,0,7.006161010662188,4,4,0,3.2,3.9,49.0,39,0
34.978159676850524,4,99143.3,15,13,4,12.993102915037007,0,4,1,14.4,0.3,38.9,39,0
21.964287483425444,4,88647.4,8,13,4,3.001111288998381,3,4,0,16.3,0.4,38.9,39,0
17.982088017504402,4,92769.9,8,10,0,1.0039060361673995,0,4,0,30.2,0.9,15.0,0,0
55.995788449352034,4,327225.9,11,9,0,12.001520604240692,3,4,0,22.9,1.0,59.1,39,0
26.016276925363425,4,90659.3,0,8,4,2.9966817669189405,1,4,1,2077.5,3.9,40.1,39,0
35.98807544115389,4,60196.2,11,4,4,7.995465844064062,3,4,0,79.1,3.4,39.0,39,0
23.99877583770642,4,340007.5,15,13,2,12.006565550362549,0,4,0,2399.2,3.0,38.9,39,0
24.961100717667932,4,270227.0,11,9,0,3.999665040729455,1,2,1,16.3,2.0,49.1,39,1
41.99897198893434,4,226764.5,0,10,4,3.9919576072640064,0,2,0,14.5,3.8,42.0,39,0
48.995363347973175,4,16447.8,15,13,0,7.997851107669969,4,4,1,16.2,2.6,11.0,26,0
23.040189088883412,2,163707.9,12,9,4,9.998449640003173,0,2,1,27.6,4.0,44.0,39,0
56.97472548711977,6,133753.3,15,1,2,9.996609802400824,1,4,1,88.2,2.6,54.1,39,1
35.01229744981244,4,123183.6,11,9,0,4.001161014597225,0,4,1,34.2,0.4,49.1,39,0
35.99908998272005,4,357385.8,6,9,2,12.002891571949785,1,4,1,2387.9,1.6,33.9,39,0
52.039515602186015,4,319377.5,8,14,2,1.9933043232738825,5,4,1,92.4,0.9,38.9,2,0
19.994041256587867,0,189492.8,9,8,0,3.0076015984509437,3,4,1,28.8,0.5,39.0,39,0
40.00980033133609,4,471052.7,15,13,2,4.001745951561723,2,4,1,78.7,3.7,49.1,39,0
50.06617661193294,4,126536.0,15,15,0,13.99949883751648,0,4,1,43.7,0.8,24.0,39,1
44.97634738266352,4,113487.5,10,14,2,10.006385891613284,1,2,1,15.0,1.4,38.9,39,0
49.00498467603348,4,168623.9,15,14,2,7.008812538060877,1,4,1,54.5,3.0,39.0,11,0
